bank_name,card_name,image_file,status,notes
"上海银行","东航白金","","missing","等待人工提供官网展示图"
"中信银行","I 白金信用卡","","missing","等待人工提供官网展示图"
"中信银行","Safari 卡","","missing","等待人工提供官网展示图"
"中信银行","万事达 i 白金","","missing","等待人工提供官网展示图"
"中信银行","万豪联名（龙年）","","missing","等待人工提供官网展示图"
"中信银行","东航 VISA 卡","","missing","等待人工提供官网展示图"
"中信银行","国泰航空","","missing","等待人工提供官网展示图"
"中信银行","悦卡信用卡","","missing","等待人工提供官网展示图"
"中信银行","悦卡（金）","","missing","等待人工提供官网展示图"
"中信银行","运通 Safari","","missing","等待人工提供官网展示图"
"中信银行","颜卡信用卡","","missing","等待人工提供官网展示图"
"交通银行","Y-POWER 信用卡","","missing","等待人工提供官网展示图"
"交通银行","优逸白金信用卡","","missing","等待人工提供官网展示图"
"交通银行","标准白金信用卡","","missing","等待人工提供官网展示图"
"交通银行","沃尔玛信用卡","","missing","等待人工提供官网展示图"
"光大银行","凯撒旅游白金信用卡","","missing","等待人工提供官网展示图"
"光大银行","抖音联名信用卡","","missing","等待人工提供官网展示图"
"光大银行","阳光信用卡","","missing","等待人工提供官网展示图"
"兴业银行","PASS 信用卡","","missing","等待人工提供官网展示图"
"兴业银行","行卡白金信用卡","","missing","等待人工提供官网展示图"
"农业银行","东航 VISA（小白）","","missing","等待人工提供官网展示图"
"农业银行","东航银联（大白）","","missing","等待人工提供官网展示图"
"农业银行","悠然白金信用卡","","missing","等待人工提供官网展示图"
"农业银行","漂亮妈妈信用卡","","missing","等待人工提供官网展示图"
"农业银行","燃梦信用卡","","missing","等待人工提供官网展示图"
"农业银行","车尊白","","missing","等待人工提供官网展示图"
"工商银行","东航联名金","","missing","等待人工提供官网展示图"
"工商银行","奋斗信用卡","","missing","等待人工提供官网展示图"
"工商银行","牡丹交通卡","","missing","等待人工提供官网展示图"
"工商银行","环球旅行信用卡","","missing","等待人工提供官网展示图"
"工商银行","环球白（上海）","","missing","等待人工提供官网展示图"
"平安银行","Safari 白金信用卡","","missing","等待人工提供官网展示图"
"平安银行","由你信用卡","","missing","等待人工提供官网展示图"
"平安银行","车主信用卡","","missing","等待人工提供官网展示图"
"广发银行","DIY 信用卡","","missing","等待人工提供官网展示图"
"广发银行","Visa 鼎极无限卡 2024 巴黎奥运版","","missing","等待人工提供官网展示图"
"广发银行","东航 IHG 三方联名卡","","missing","等待人工提供官网展示图"
"广发银行","华为车","","missing","等待人工提供官网展示图"
"广发银行","奕驾白","","missing","等待人工提供官网展示图"
"广发银行","有鱼卡","","missing","等待人工提供官网展示图"
"广发银行","臻享白金信用卡","","missing","等待人工提供官网展示图"
"广发银行","车主信用卡","","missing","等待人工提供官网展示图"
"广发银行","车主白","","missing","等待人工提供官网展示图"
"建设银行","muse","","missing","等待人工提供官网展示图"
"建设银行","东航睿我万事达","","missing","等待人工提供官网展示图"
"建设银行","尊享白金（大山白）","","missing","等待人工提供官网展示图"
"建设银行","龙卡JOY信用卡","","missing","等待人工提供官网展示图"
"建设银行","龙卡全球支付信用卡","","missing","等待人工提供官网展示图"
"建设银行","龙卡家庭挚爱信用卡","","missing","等待人工提供官网展示图"
"建设银行","龙卡汽车卡","","missing","等待人工提供官网展示图"
"招商银行","JCB 全币种","","missing","等待人工提供官网展示图"
"招商银行","Young 卡","","missing","等待人工提供官网展示图"
"招商银行","young 卡（羊毛卡）","","missing","等待人工提供官网展示图"
"招商银行","全币种国际信用卡","","missing","等待人工提供官网展示图"
"招商银行","经典白金信用卡","","missing","等待人工提供官网展示图"
"招商银行","经典白金卡","","missing","等待人工提供官网展示图"
"招商银行","自由人生白金信用卡","","missing","等待人工提供官网展示图"
"民生银行","ANA 民生","","missing","等待人工提供官网展示图"
"民生银行","MORE 世界卡","","missing","等待人工提供官网展示图"
"民生银行","女人花信用卡","","missing","等待人工提供官网展示图"
"民生银行","百夫长","","missing","等待人工提供官网展示图"
"民生银行","车车信用卡","","missing","等待人工提供官网展示图"
"浙商银行","红利卡","","missing","等待人工提供官网展示图"
"浙商银行","车主卡","","missing","等待人工提供官网展示图"
"浙商银行","长龙航空联名白金","","missing","等待人工提供官网展示图"
"浦发银行","AE 运通超白金信用卡","","missing","等待人工提供官网展示图"
"浦发银行","东航金","","missing","等待人工提供官网展示图"
"浦发银行","梦卡信用卡","","missing","等待人工提供官网展示图"
"浦发银行","简约白金信用卡","","missing","等待人工提供官网展示图"
"浦发银行","美国运通白金信用卡","","missing","等待人工提供官网展示图"
